amuigh	amugha	['madae']
amul	amal	['amal', 'samlaid', 'amail']
amulaig	amlaid	['amlad', 'amlaid']
amulchacha	amulchach	['amul(ch)ach']
amá	atá	['óthá', 'dar', 'attá', 'atá']
an-airde	ancairde	['ancairde']
an-su	ansu	['ansu']
anachnid	anaichnid	['anaithnid']
anachta	anacht	['anacht', 'aingid']
anadh	anad	['athgabáil', 'anaid']
anadhbadh	anadbad	['anapaid']
anaghaidh	aghaidh	['agad']
anaidh	anaid	['anaid']
anail	amail	['amail']
anailche	anaipche	['anaipche']
anais	anair	['anair']
anaitnig	anaithnid	['anaithnid']
anala	anall	['anall']
analai	analag	['aithairec']
analaib	anacair	['anacair']
analaich	analach	['aithairec']
analche	anacht	['anacht', 'aingid']
anann	acann	['acan(n)', 'aicenn']
anaobda	anadbad	['anapaid']
anble	andle	['áindle']
and-emain	andomain	['andomain']
and-emoin	andregoin	['andregoin']
and-so	andess	['andess']
andara	indara	['indala']
andaí	andar	['dar']
andi	and	['and(a)', 'i', 'ad-annai', 'an']
andiaidh	andaide	['side']
andiarad	antuarad	['antuarad']
andiss	andess	['andess']
andocht	anocht	['innocht', 'nocht', 'anocht']
andochtt	anocht	['innocht', 'nocht', 'anocht']
andregoined	andregoin	['andregoin']
andrib	andaib	['andaib']
andro	andró	['annró']
andsa1	andsa	['i']
andsam	andsa	['i']
andsen	andess	['andess']
andside	andaide	['side']
andsin	andóin	['andóin']
andso	andsa	['i']
andsu	andsa	['i']
andtuaid	antúaid	['atúaid']
andáte	andás	['indaas']
andé	and	['and(a)', 'i', 'ad-annai', 'an']
andéi	and	['and(a)', 'i', 'ad-annai', 'an']
andíaidh	andaide	['side']
andíaraid	aindíaraid	['aindíaraid']
andú	and	['and(a)', 'i', 'ad-annai', 'an']
aneachtair	anechtair	['anechtair']
anes	ane	['ane']
anfaidi	anfaid	['anfud']
anfair	anair	['anair']
anfam	anfai	['anfainn']
anfed	anfad	['anfud']
anfini	anfainn	['anfainn']
anfir	anair	['anair']
anfis	anois	['foss', 'indossa']
anflatha	anblath	['anblath']
anfolaid	anfoclaid	['anfoclaid']
anfír	anfur	['anfur']
ange	ane	['ane']
anglonna	anglondas	['anglondas']
anglonnach	anglondach	['anglondach']
ango	anga	['angó']
angresed	adtresed	['at-reig']
angáes	ingáes	['ingáes']
aniar	anair	['anair']
aniarsin	iarsin	['íar']
anios	anois	['foss', 'indossa']
aniu	anim	['ainim(m)', 'ainim', 'ainimm']
aniub	andub	['andub']
anloise	anoise	['foss']
anma-sin	anmain	['ainim(m)', 'anmain']
anmai	anmain	['ainim(m)', 'anmain']
anmain-si	amainsi	['amnas']
anmargaig	anmargach	['danmargach', 'anmargach']
anmchomét	anmchoimét	['anmchoimét']
anmilti	airilti	['ad-roilli']
