Crúachnaib
Cúailnge	Cúailnge,Chúailgni,Chúalngi,Chúalngiu,Cúalṅge,Cuailngi,Cualṅgi,Chúalngi,Chúailgne,Cuailngne,Cuailgne,Cualṅgiu,Cualṅgi,Cuailngi,Cúalngiu
Máil	Máil
Clíu	Clíu
Clúain	Clúain,Cluain,Cluana,cCluain,Clúana,Clona
Cnocc	Cnocc,Cnucc
Úachtair	Úachtair
Forcha	Fhorcha,Forcha
Cráebrúad	Cráebrúad,Craebruad,Craebruade,Chroibderg,Chroebruaid,Croibderg,Croebruaid,Craebrúaide,Cróibhe
Druimm	Druimm 
Collchailli	Collchailli,Collchailli
Caín	Caín
Croofoit	Croofoit
Cuinchiu	Cuinchiu
Deilge	Deilge,Delga,Delcce,Deilgge,Delga,Delca,Delgga,Delgga,Delga
Delga	Delgu,Delga,Delca,Delga,Dealgain,Delca,Delggain,Delga,Dealgau,Delgan,Delgan,Delgu
Dublind	Dublind
Duma	Duma
Dún	Dún,Dúin,Dúni
Ollach	Ollaich,Ollach
Sinche	Sinche
Emain	Emain,Eamain,Emhna,Emna,Emoin,Emno,Eomon,Némain,nEmain,n-Emain,n-Emna,n-Eumain,Eumain
Elg	Elg,Elg,Ealg,Elga,Elgga,Elcgae,Eilgi,Elg,Eilgg
Ériu	Ériu,Ériu,Heriu,Eriu,Eri,Éire,Heriu,Hére,Éire,nÉrenn,hÉrenn,Éreand,Éireann,nHerind,Herind,Éirinn,Ēire,Héiriu,Érinn,Éirinn,nhEre,hÉre,Érennmag,Erendmag,Eireand,Eirionn,Erend,Erind,Erionn,n-Éreand,Éreand,Heire,Herend,Herind,Heriu,Hérend,Hérenn,Hérind,Hérinn,Hériu,Érend,nn-Érind,nHerind,nEirinn,Érenn,Érind,Érinn,Ériu,nHerind,nHére,nHérinn,nEirinn,n-Erend,n-Erenn,n-Erie,Érend,Érenn,Érind,Érinn,Ériu
Errgi	Errgi
Brí	Breg,Brí
Leith	Leith
Eolairg	Eolairg
Espáin	Espáin,Espán,Hespain,Espáin,Espain,Espáni,Espaine,Spáin
Fesse	Fesse
Findleithiu	Findleithiu
Fótla	Fotla,Fótla
Fálmag	Fálmag
Gaili	Gaili
Dána	Dána
Gatlach	Gatlach,Gatlaig,nGatlaig
Glend	Glemd,Glenn
Gat	Gat,n-Gat
Glonnáth	Glonnáth
Inber	Inber,Inbeur
Bóinn	Boänd,Bóinn,Boënd,Boend,Boand,Bōinne,Bōinne,Boïnn,Boend,Bōïnn,Bōänd
Inis	Inis,Innse
Neasáin	Neasáin
Iráird	Iráird,Iraird
Laigin	Laigin,Laighin,Lagen,Lagin,Lagnib,Laignib,Laigniu
Lia	Lia
Toll	Toll
Liac	Liac
Liadh	Liadh,Lía
Úaland	Úaland
Bél	Bél
Dracon	Dracon
Loch	Loch,Locha,Lócha,Lóch
Áne	Áne
Quan	Quan
Lochann	Lochann
Lopán	Lopán
Lám	Lám,Láme
Gábuid	Gábuid,Gábaid
Léna	Léna
Inmain	Inmain
Mandachta	Mandachta
Tetrai	Tetrai
Thúag	Maig Thúag
Manncuili	Manncuili
Mann	Mann,Mand,Maind
Mardaimh	Mardaimh,Maurdaim
Maucho	Maucho,Mauchai
Moggruad	Moggruad
Mide	Mide,Midi,mMidiu,Midiu,Midhiu,Midhi
Ochaill	Ochaill
Inbher	Inbher,Inbir,Inber
Oillbine	Oillbine
Rind	Rind
Semni	Semni
Ross	Ross
Bodbo	Bodbo
Réid	Réid
Saxa	Saxa,Saxae,Saexu,Sacsaibh,Shacsaibh,Sagsaibh,Saxaibh,Sagsa,Saghsa
Ercmon	Ercmon
Slemain	Sleamain,Sleamoin,Sleamuin,Slemain,Slemin
Fuaid	Fuaid,Fúait
Culind	Culind
Mis	Mis
Smirombair	Smirombair
Segsai	Segsai
Temair	Temair,Temro,Temrae,Temair,Teamhair,Tara,Temraig,Teamraig,Temra,Temrach,Temuir,Theamraig,Themair,Themra
Lúachra	Lúachra
Tetra	Tethruch,Tetra,Tetrach
Tonach	Toingi,Tonge,Tonach
Tráig	Tráig
Éise	Éise
Tír	Tír,Tíre
Marccéni	Marccéni
Tairngire	Tairngire
Tairb	Tairb
Gáe	Gáe,Gae
Úaig	Úaig
Búana	Búana
Cruadín	Cruadín,Catutchend,Chrúadín,Chruadín,Chruadín
Lúin	Lúin
Óchaín	Óchaín,Óchnech
Caladbolg	Caladbolg
Boann	Boann,Boind,Boand,Boënd,Boend,Boaind,Boïnn,Bōinne,Boindeo,Boend,Bōänd,Bóind,Bōinne,Bōänd Bregmaige,Bóaind
Chríst	Chríst
Cirine	Cirine,Chirine,Cirini,Chirini,Cirinus,Círine
Colomon	Colomon
Dagda	Dagda,Dagdae,Dagdu,Daghda,Dagdai,Dagdo,Dagdea
Dagán	Dagán,Daghan,Dagain,Dagan,Dagania,Dago,Dagonus
Lir	Lir
